growthT,assayT,biorep,generation,growthrate,CN,V,Ccell_pg,M,Ccell_umol,Np 24hrs mumolO2cell,Gp24hrs mumolO2cell,resp24hrs mumolO2cell,cellsml,NP umol C per cell per hour ,GP umol C per cell per hour ,R umol C per cell per hour 
32,30,b6,t300,0.636541732,7.480983276,6758.832802,201.0013746,0.789051416,1.68E-05,1.40E-05,2.04E-05,5.35E-06,670560,5.83E-07,8.50E-07,2.23E-07
32,32,b1,t300,0.616653238,6.836939516,8695.388356,187.1490302,0.773677301,1.56E-05,3.52E-06,6.37E-06,6.43E-07,260640,1.47E-07,2.65E-07,2.68E-08
32,32,b2,t300,0.328332625,7.191236303,19944.22886,180.3346602,0.782401417,1.50E-05,8.44E-06,1.31E-05,2.60E-06,912960,3.52E-07,5.46E-07,1.08E-07
32,32,b3,t300,0.699656053,7.640377386,14116.81211,119.2824624,0.792539242,9.94E-06,1.52E-05,2.50E-05,1.51E-05,510960,6.33E-07,1.04E-06,6.29E-07
32,32,b4,t300,0.716595746,6.742720702,13260.48258,178.0633654,0.77123826,1.48E-05,1.47E-05,2.28E-05,8.04E-06,642720,6.13E-07,9.50E-07,3.35E-07
32,32,b5,t300,0.866658183,7.349897051,17124.13015,122.1342002,0.786093901,1.02E-05,2.00E-05,2.62E-05,1.22E-05,557040,8.33E-07,1.09E-06,5.08E-07
32,32,b6,t300,1.163310248,7.480983276,8354.13218,201.0013746,0.789051416,1.68E-05,1.78E-05,2.54E-05,8.04E-06,708240,7.42E-07,1.06E-06,3.35E-07
32,35,b1,t300,0.368191395,6.836939516,7471.934126,187.1490302,0.773677301,1.56E-05,4.78E-06,7.78E-06,9.20E-07,573840,1.99E-07,3.24E-07,3.83E-08
32,35,b2,t300,0.535436916,7.191236303,14675.28943,180.3346602,0.782401417,1.50E-05,2.86E-06,5.26E-06,4.57E-07,1069680,1.19E-07,2.19E-07,1.90E-08
32,35,b3,t300,0.567772629,7.640377386,7738.943565,119.2824624,0.792539242,9.94E-06,3.93E-06,9.59E-06,2.24E-06,806400,1.64E-07,4.00E-07,9.33E-08
32,35,b4,t300,0.554023333,6.742720702,9793.943196,178.0633654,0.77123826,1.48E-05,7.21E-06,1.45E-05,3.56E-06,527040,3.00E-07,6.04E-07,1.48E-07
32,35,b5,t300,0.616567548,7.349897051,18476.49913,122.1342002,0.786093901,1.02E-05,9.93E-06,1.44E-05,4.34E-06,941040,4.14E-07,6.00E-07,1.81E-07
32,35,b6,t300,0.590494772,7.480983276,5772.12856,201.0013746,0.789051416,1.68E-05,1.31E-05,2.26E-05,7.40E-06,538320,5.46E-07,9.42E-07,3.08E-07
32,40,b1,t300,0.121982375,6.836939516,6091.483564,187.1490302,0.773677301,1.56E-05,1.23E-06,3.18E-06,1.54E-07,1596240,5.13E-08,1.33E-07,6.42E-09
32,40,b2,t300,0.344679676,7.191236303,5609.198374,180.3346602,0.782401417,1.50E-05,1.59E-06,4.71E-06,3.30E-07,1030800,6.63E-08,1.96E-07,1.38E-08
32,40,b3,t300,0.220812915,7.640377386,7643.019283,119.2824624,0.792539242,9.94E-06,1.83E-06,4.03E-06,4.05E-07,973200,7.63E-08,1.68E-07,1.69E-08
32,40,b4,t300,0.364905849,6.742720702,3687.018374,178.0633654,0.77123826,1.48E-05,1.56E-06,4.54E-06,3.13E-07,957600,6.50E-08,1.89E-07,1.30E-08
32,40,b5,t300,0.204136142,7.349897051,5836.199009,122.1342002,0.786093901,1.02E-05,5.51E-07,3.13E-06,1.40E-07,1532880,2.30E-08,1.30E-07,5.83E-09
32,40,b6,t300,0.164608452,7.480983276,2279.080002,201.0013746,0.789051416,1.68E-05,1.12E-06,4.94E-06,2.55E-07,1292880,4.67E-08,2.06E-07,1.06E-08
Ancestor,15,b1,t000,0.592354875,7.176010174,12308.00129,146.7833054,0.782040346,1.22E-05,2.15E-06,5.15E-06,5.27E-07,291500,8.96E-08,2.15E-07,2.20E-08
Ancestor,15,b2,t000,0.540183483,6.955403388,661.2239067,187.1022461,0.776671143,1.56E-05,4.59E-06,9.25E-06,1.37E-06,321750,1.91E-07,3.85E-07,5.71E-08
Ancestor,15,b3,t000,0.537528477,6.960800255,14233.52705,98.38625428,0.776805649,8.20E-06,8.99E-06,1.43E-05,5.11E-06,358000,3.75E-07,5.96E-07,2.13E-07
Ancestor,15,b4,t000,0.673456874,6.965175194,3569.802152,81.15617423,0.776914566,6.76E-06,5.39E-06,6.51E-06,8.93E-07,509000,2.25E-07,2.71E-07,3.72E-08
Ancestor,15,b5,t000,0.586473704,7.366321293,3008.529524,109.2455495,0.786468995,9.10E-06,9.18E-06,1.32E-05,4.09E-06,456500,3.83E-07,5.50E-07,1.70E-07
Ancestor,15,b6,t000,0.54362845,7.032575044,3643.836846,109.581951,0.778579199,9.13E-06,1.20E-05,3.40E-05,5.32E-06,455500,5.00E-07,1.42E-06,2.22E-07
Ancestor,20,b1,t000,0.766623741,7.176010174,3502.301317,146.7833054,0.782040346,1.22E-05,5.69E-06,1.08E-05,2.36E-06,361750,2.37E-07,4.50E-07,9.83E-08
Ancestor,20,b2,t000,0.562405103,6.955403388,3892.485828,187.1022461,0.776671143,1.56E-05,8.90E-06,1.62E-05,4.18E-06,321750,3.71E-07,6.75E-07,1.74E-07
Ancestor,20,b3,t000,0.620838936,6.960800255,5785.988223,98.38625428,0.776805649,8.20E-06,1.98E-05,2.51E-05,1.77E-05,309500,8.25E-07,1.05E-06,7.38E-07
Ancestor,20,b4,t000,0.611821868,6.965175194,3603.123485,81.15617423,0.776914566,6.76E-06,2.14E-05,2.48E-05,1.69E-05,455500,8.92E-07,1.03E-06,7.04E-07
Ancestor,20,b5,t000,0.566485495,7.366321293,3719.431674,109.2455495,0.786468995,9.10E-06,2.02E-05,2.37E-05,7.68E-06,347500,8.42E-07,9.88E-07,3.20E-07
Ancestor,20,b6,t000,0.597332712,7.032575044,2262.166136,109.581951,0.778579199,9.13E-06,2.71E-05,6.19E-05,0.000103162,337000,1.13E-06,2.58E-06,4.30E-06
Ancestor,25,b1,t000,1.089073292,7.176010174,2199.681306,146.7833054,0.782040346,1.22E-05,1.18E-05,1.75E-05,5.48E-06,477000,4.92E-07,7.29E-07,2.28E-07
Ancestor,25,b2,t000,1.483819864,6.955403388,3329.706392,187.1022461,0.776671143,1.56E-05,1.96E-05,2.46E-05,6.32E-06,292750,8.17E-07,1.03E-06,2.63E-07
Ancestor,25,b3,t000,0.970979354,6.960800255,6719.712464,98.38625428,0.776805649,8.20E-06,2.18E-05,2.75E-05,1.53E-05,534250,9.08E-07,1.15E-06,6.38E-07
Ancestor,25,b4,t000,0.66613343,6.965175194,2232.556436,81.15617423,0.776914566,6.76E-06,2.33E-05,2.46E-05,4.45E-06,337000,9.71E-07,1.03E-06,1.85E-07
Ancestor,25,b5,t000,0.899968964,7.366321293,3544.266829,109.2455495,0.786468995,9.10E-06,2.21E-05,3.33E-05,2.71E-05,274750,9.21E-07,1.39E-06,1.13E-06
Ancestor,25,b6,t000,0.659200075,7.032575044,6450.800265,109.581951,0.778579199,9.13E-06,2.09E-05,4.40E-05,5.28E-05,330750,8.71E-07,1.83E-06,2.20E-06
Ancestor,30,b1,t000,0.692348738,7.176010174,1769.964643,146.7833054,0.782040346,1.22E-05,1.28E-05,2.73E-05,1.52E-05,324750,5.33E-07,1.14E-06,6.33E-07
Ancestor,30,b2,t000,0.798234784,6.955403388,3120.85624,187.1022461,0.776671143,1.56E-05,7.74E-06,1.33E-05,2.74E-06,392500,3.23E-07,5.54E-07,1.14E-07
